review_raw,review_clean,true_label,pred_label,proba_pos,is_misclassified,confidence_margin,length_chars,length_tokens
"Interesting: This was a very fascinating read. It does not focus only on Mothamn sightings, but all the other strange events that were supposed to have happened. If you are looking for a book that will prove Mothman exists, I don't think this is the proper book for you. It is mainly about what went on from the first sighting of Mothman to the felling of the bridge. There were a lot of strange happenings during that time. I read this as ""I'm presenting you with the information as to what heppened as I saw it and was involved in it, and you make up your mind as to whether its true or not"".",interesting fascinating read focus mothamn sightings strange events supposed happened looking book prove mothman exists dont think proper book mainly went first sighting mothman felling bridge lot strange happenings time read im presenting information heppened saw involved make mind whether true,1,0,0.4520093326129318,True,0.0479906673870682,594,41
One of my favorite toys!: This Blue Eyes Shining Dragon is awesome! I got it for Christmas and I played with it all day. The one I got came with the card Shadow Spell. It's a cool toy so if you can't find anything at Toys 'R' Us or somthing buy this!,one favorite toys blue eyes shining dragon awesome got christmas played day one got came card shadow spell cool toy cant find anything toys r us somthing buy,0,1,0.9515636039289636,True,0.45156360392896355,250,28
"Not of good quality!: In the picture it seems bright, cool, So I ordered! I received it few days back.. not good looking, not of good quality!!",good quality picture seems bright cool ordered received days back good looking good quality,0,1,0.587529608407626,True,0.08752960840762603,143,14
"Who's laughing?: My husband and I are expecting our first baby any day now. We opted to get a childbirth video versus attending a class. After doing some research and getting reccomendations from friends, I decided to purchase this video. While the information on the DVD is helpful and each segment is clear and easy to understand, the instructor presented it in such a way that made extremely painful to watch.The instructor continuously makes annoying jokes, mocks pregnant women and their partners, using the most unfunny and unflattering impersonations imaginable. Watching this woman's attempt stand-up routine was so uncomfortable that we often found ourselves fast forwarding through a lot of it. Please believe that neither me or my husband laughed during this DVD. Not once.I wish we had just gone to childbirth class.",whos laughing husband expecting first baby day opted get childbirth video versus attending class research getting reccomendations friends decided purchase video information dvd helpful segment clear easy understand instructor presented way made extremely painful watchthe instructor continuously makes annoying jokes mocks pregnant women partners using unfunny unflattering impersonations imaginable watching womans attempt standup routine uncomfortable often found fast forwarding lot please believe neither husband laughed dvd oncei wish gone childbirth class,0,1,0.7102920827554277,True,0.21029208275542766,828,71
Bad purchase: This is not a very good toy. Sometimes it catches and works but mostly not. Should of listened to reviews. They were right.,bad purchase good toy sometimes catches works mostly listened reviews right,0,1,0.5174462770383874,True,0.017446277038387414,137,11
"Good songs, bad cover.: This CD compilation set was purchased for me. I love the 80s, and they chose great songs. The songs are not performed by the original artists. Instead, they're poorly covered by ""the Starlite Singers"".",good songs bad cover cd compilation set purchased love chose great songs songs performed original artists instead theyre poorly covered starlite singers,0,1,0.564920772583361,True,0.06492077258336104,225,22
"KING OF SLEEZE OF THE 70'S: If you enjoy bad scripts, bad actors poor film quality that was the early 70's, this is right up your alley.",king sleeze enjoy bad scripts bad actors poor film quality early right alley,1,0,0.005681572785802447,True,0.49431842721419755,136,13
"Why not Spanish ???: Alguien me puede decir porque la serie Three's Company no viene ni con audio ni con subtitulos en ESPAÑOL.Esta serie fue vista a nivel mundial, si casi todas las series que salen en dvd con varios idiomas que paso con esta si es una de las mejores de todos los tiempos.Una comedia excelente y unica deberian de haber tomado en cuenta aca en mi pais la dieron con audio en español, donde quedo eso ???.Ahora si viene en audio ESPAÑOL o por lo menos subtitulo pido mil disculpas pero no dice por ningun lado en la descripcion del producto.SALUDOS",spanish alguien puede decir porque la serie threes company viene ni con audio ni con subtitulos en españolesta serie fue vista nivel mundial si casi todas las series que salen en dvd con varios idiomas que paso con esta si es una de las mejores de todos los tiemposuna comedia excelente unica deberian de haber tomado en cuenta aca en mi pais la dieron con audio en español donde quedo eso ahora si viene en audio español por lo menos subtitulo pido mil disculpas pero dice por ningun lado en la descripcion del productosaludos,0,1,0.8946105912832415,True,0.3946105912832415,565,94
Dysfunctional Funeral: While many families don't get along for one reason or another... Sometimes it takes a miracle to make people look at their own lives a bit closer... in this film.. mainly a comedy with some twist... you might relate to dealing with a whole family coming together for a mothers funeral.You may check out the trailer here as long as Youtube has it available[...],dysfunctional funeral many families dont get along one reason another sometimes takes miracle make people look lives bit closer film mainly comedy twist might relate dealing whole family coming together mothers funeralyou may check trailer long youtube available,1,0,0.4741135529790628,True,0.025886447020937176,383,38
"Great book, but not this Kindle edition: There's no question on the importance of Hodge's book. But this $3 Kindle edition is simply scanned with OCR and is almost worthless. It would have been far easier to read it in simple image form.",great book kindle edition theres question importance hodges book kindle edition simply scanned ocr almost worthless would far easier read simple image form,0,1,0.5847146576297452,True,0.08471465762974517,237,23
"Too good for Sepos: This album is innovative and fun, blending various styles to create one slick and catchy sound. It is a refreshing change to bland Strokes-wannabies and the same old homogenised Fiddy/G-Unit output and what a surprise you Yanks don't seem to understand or appreciate it! I've even read reviews on here criticising her accent - SHE'S FOREIGN WHAT DO YOU EXPECT?!? I've read other reviews attacking her political agenda - WHAT DO FIDDY AND HIS GOONS RAP ABOUT??? Guns, Beatches and Drugs that's what!!!! At least MIA has something intelligent to say. Isn't freedom of speech a constitutional right for you guys anyway??? Open your ears and your wallet and buy a copy now!!!",good sepos album innovative fun blending various styles create one slick catchy sound refreshing change bland strokeswannabies old homogenised fiddygunit output surprise yanks dont seem understand appreciate ive even read reviews criticising accent shes foreign expect ive read reviews attacking political agenda fiddy goons rap guns beatches drugs thats least mia something intelligent say isnt freedom speech constitutional right guys anyway open ears wallet buy copy,1,0,0.43330024756008045,True,0.06669975243991955,691,66
"IT IS A BOOK FOR PEOPLE WHO THINK THEY CANNOT BE SCARED.: A HORROR BOOK CANNOT GET BETTER THAN THIS;G.M HAS A WAY WITH WORDS TO SCARE THE BEJEE'S OUT OF YOU. HIS STYLE , PROSE AND CHARACTERS ARE ALWAYS REFRESHING , ENTERTAINING AND NEVER LACKS TO GRASP YOUR ATTENTION AND INTREST. ANY LADIES THINKING G.M IS A GREAT AUTHOR WRITE TO ME VIA E-MAIL.",book people think cannot scared horror book cannot get better thisgm way words scare bejees style prose characters always refreshing entertaining never lacks grasp attention intrest ladies thinking gm great author write via email,1,0,0.25156044272368105,True,0.24843955727631895,346,34
"Don't listen to the others!: Absolutely awful.I watched this Christmas special with an effort. When I think of bad Christmas movies, it's Santa Claus (1961), Santa with Muscles, Santa Claus Conquers the Martians and A Charlie Brown Christmas.I can't believe this won an Emmy, Hollywood's most famous TV award! I would have to be on drugs in order to recognize it as such.I beggar you not to listen to the others! It's not a Christmas classic, they're lying. How can a Christmas movie have touching up on a perfectly innocent tree, teasing C.B. because of the Christmas tree, and Lucy at the end saying dialogue that I try to forget:""Charlie Brown IS a blockhead...but he gave us a nice tree.""Something that Ed Wood would perpetrate, in my highly professional opinion.",dont listen others absolutely awfuli watched christmas special effort think bad christmas movies santa claus santa muscles santa claus conquers martians charlie brown christmasi cant believe emmy hollywoods famous tv award would drugs order recognize suchi beggar listen others christmas classic theyre lying christmas movie touching perfectly innocent tree teasing cb christmas tree lucy end saying dialogue try forgetcharlie brown blockheadbut gave us nice treesomething ed wood would perpetrate highly professional opinion,0,1,0.7074824117697904,True,0.20748241176979043,767,72
Fox Collection: The Great Fox War Movies (Patton - Special Edition / The Longest Day / Tora! Tora! Tora! - Special Edition)I purchased this set and the DVD's (6) Were Damaged. I requested a replacement. The Replacement was also damaged. The problem is the DVD's are in paper inserts in the Book. They are not protected. In the packaging process by FOX ( Not Amazon ) The DVD's get all scratched and will not play.,fox collection great fox war movies patton special edition longest day tora tora tora special editioni purchased set dvds damaged requested replacement replacement also damaged problem dvds paper inserts book protected packaging process fox amazon dvds get scratched play,0,1,0.5865273123136734,True,0.08652731231367339,413,39
"A Fine Work: Romeo and Juliet is the first Shakespearean play I have read. I thought it was very good. It didn't have a complicated plot like other Shakespearean plays allegedly have. The language, of course, is great. I would also recommend buying this edition of the book if any, because old and archaic words and phrases are translated on every other page (this is a huge help). Shakespeare offers some good comic relief (watch for several double entendres) throughout the play which moderated the level of lament. This play shows the chaos that can result when people let their emotions overcome reason, and also what can result when you only look short term and move with so much ""haste"". After finishing the play, I realized that there were indeed only a couple of totally reasonable characters, but I'll leave that to you. I look foward to reading more of Shakespeare's plays in the near future.",fine work romeo juliet first shakespearean play read thought good didnt complicated plot like shakespearean plays allegedly language course great would also recommend buying edition book old archaic words phrases translated every page huge help shakespeare offers good comic relief watch several double entendres throughout play moderated level lament play shows chaos result people let emotions overcome reason also result look short term move much haste finishing play realized indeed couple totally reasonable characters ill leave look foward reading shakespeares plays near future,1,0,0.4380020852210425,True,0.0619979147789575,902,83
"Danelectro DJ-20C Rocky Road Spin Speaker Mini Effects Pedal: This pedal is cheaply made but it sounds terrific, makes even a cheap organ sound half decent.It really does give you that Leslie effect if you mess around with the settings a little.It smells of burnt rubber as it is cheaply made but apart from that, I would highlyrecommend it for a keyboard but not much use for a guitar really. The price is good forwhat you get as with all Danelectro effect pedals. I received mine through Jax Music Supply, LLCwho were great to deal with, for a fast and reliable service.",danelectro djc rocky road spin speaker mini effects pedal pedal cheaply made sounds terrific makes even cheap organ sound half decentit really give leslie effect mess around settings littleit smells burnt rubber cheaply made apart would highlyrecommend keyboard much use guitar really price good forwhat get danelectro effect pedals received mine jax music supply llcwho great deal fast reliable service,1,0,0.25242797213223145,True,0.24757202786776855,572,60
